month,division,line,day_type,category,count
1/1/2015,A DIVISION,1,1,Signals,1
1/1/2015,A DIVISION,1,1,Track,1
1/1/2015,A DIVISION,1,2,Signals,1
1/1/2015,A DIVISION,2,1,Other,2
1/1/2015,A DIVISION,2,1,Persons on Trackbed/Police/Medical,1
1/1/2015,A DIVISION,2,1,Signals,1
1/1/2015,A DIVISION,2,1,Track,1
1/1/2015,A DIVISION,2,2,Other,1
1/1/2015,A DIVISION,3,1,Signals,1
1/1/2015,A DIVISION,3,1,Track,2
1/1/2015,A DIVISION,3,2,Persons on Trackbed/Police/Medical,1
1/1/2015,A DIVISION,3,2,Signals,1
1/1/2015,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
1/1/2015,A DIVISION,4,1,Signals,2
1/1/2015,A DIVISION,4,1,Subway Car,1
1/1/2015,A DIVISION,4,1,Track,1
1/1/2015,A DIVISION,5,1,Other,1
1/1/2015,A DIVISION,5,1,Persons on Trackbed/Police/Medical,5
1/1/2015,A DIVISION,5,1,Signals,1
1/1/2015,A DIVISION,5,1,Subway Car,1
1/1/2015,A DIVISION,5,1,Track,1
1/1/2015,A DIVISION,5,2,Persons on Trackbed/Police/Medical,1
1/1/2015,A DIVISION,6,1,Other,1
1/1/2015,A DIVISION,6,1,Persons on Trackbed/Police/Medical,4
1/1/2015,A DIVISION,6,1,Subway Car,1
1/1/2015,A DIVISION,6,1,Track,1
1/1/2015,A DIVISION,6,2,Persons on Trackbed/Police/Medical,1
1/1/2015,A DIVISION,7,1,Signals,3
1/1/2015,A DIVISION,7,2,Signals,1
1/1/2015,B DIVISION,A,1,Other,1
1/1/2015,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
1/1/2015,B DIVISION,A,1,Signals,2
1/1/2015,B DIVISION,A,1,Track,2
1/1/2015,B DIVISION,B,1,Track,2
1/1/2015,B DIVISION,C,1,Other,1
1/1/2015,B DIVISION,C,1,Persons on Trackbed/Police/Medical,1
1/1/2015,B DIVISION,C,1,Signals,1
1/1/2015,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
1/1/2015,B DIVISION,D,2,Signals,1
1/1/2015,B DIVISION,E,1,Signals,2
1/1/2015,B DIVISION,E,1,Track,2
1/1/2015,B DIVISION,F,1,Persons on Trackbed/Police/Medical,1
1/1/2015,B DIVISION,F,1,Signals,3
1/1/2015,B DIVISION,F,1,Track,1
1/1/2015,B DIVISION,JZ,1,Track,1
1/1/2015,B DIVISION,M,1,Other,2
1/1/2015,B DIVISION,M,1,Signals,2
1/1/2015,B DIVISION,M,1,Subway Car,1
1/1/2015,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
1/1/2015,B DIVISION,N,1,Signals,1
1/1/2015,B DIVISION,N,1,Track,3
1/1/2015,B DIVISION,Q,1,Persons on Trackbed/Police/Medical,1
1/1/2015,B DIVISION,Q,1,Stations and Structure,1
1/1/2015,B DIVISION,Q,1,Track,2
1/1/2015,B DIVISION,R,1,Persons on Trackbed/Police/Medical,2
1/1/2015,B DIVISION,R,1,Subway Car,1
1/1/2015,B DIVISION,R,2,Other,2
1/1/2015,Systemwide,Systemwide,1,Other,8
1/1/2015,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,20
1/1/2015,Systemwide,Systemwide,1,Signals,20
1/1/2015,Systemwide,Systemwide,1,Stations and Structure,1
1/1/2015,Systemwide,Systemwide,1,Subway Car,5
1/1/2015,Systemwide,Systemwide,1,Track,20
1/1/2015,Systemwide,Systemwide,2,Other,3
1/1/2015,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,3
1/1/2015,Systemwide,Systemwide,2,Signals,5
2/1/2015,A DIVISION,1,1,Persons on Trackbed/Police/Medical,1
2/1/2015,A DIVISION,1,1,Signals,2
2/1/2015,A DIVISION,1,1,Track,1
2/1/2015,A DIVISION,2,1,Other,2
2/1/2015,A DIVISION,2,1,Signals,2
2/1/2015,A DIVISION,2,1,Track,3
2/1/2015,A DIVISION,2,2,Other,1
2/1/2015,A DIVISION,3,1,Other,1
2/1/2015,A DIVISION,3,1,Persons on Trackbed/Police/Medical,2
2/1/2015,A DIVISION,3,1,Signals,1
2/1/2015,A DIVISION,3,1,Track,2
2/1/2015,A DIVISION,4,1,Other,2
2/1/2015,A DIVISION,4,1,Signals,1
2/1/2015,A DIVISION,4,2,Signals,1
2/1/2015,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
2/1/2015,A DIVISION,5,1,Signals,3
2/1/2015,A DIVISION,6,1,Other,4
2/1/2015,A DIVISION,6,1,Persons on Trackbed/Police/Medical,2
2/1/2015,A DIVISION,6,2,Other,1
2/1/2015,A DIVISION,7,1,Persons on Trackbed/Police/Medical,1
2/1/2015,A DIVISION,7,1,Signals,3
2/1/2015,A DIVISION,7,1,Track,2
2/1/2015,B DIVISION,A,1,Other,3
2/1/2015,B DIVISION,A,1,Signals,1
2/1/2015,B DIVISION,A,2,Track,1
2/1/2015,B DIVISION,B,1,Stations and Structure,1
2/1/2015,B DIVISION,C,1,Persons on Trackbed/Police/Medical,1
2/1/2015,B DIVISION,C,1,Signals,1
2/1/2015,B DIVISION,D,1,Signals,1
2/1/2015,B DIVISION,D,1,Subway Car,1
2/1/2015,B DIVISION,E,1,Signals,1
2/1/2015,B DIVISION,E,1,Stations and Structure,1
2/1/2015,B DIVISION,E,1,Track,3
2/1/2015,B DIVISION,E,2,Other,1
2/1/2015,B DIVISION,F,1,Signals,1
2/1/2015,B DIVISION,F,1,Track,2
2/1/2015,B DIVISION,G,1,Signals,1
2/1/2015,B DIVISION,JZ,1,Signals,1
2/1/2015,B DIVISION,L,1,Stations and Structure,1
2/1/2015,B DIVISION,L,1,Subway Car,1
2/1/2015,B DIVISION,L,1,Track,2
2/1/2015,B DIVISION,M,1,Other,1
2/1/2015,B DIVISION,M,1,Signals,1
2/1/2015,B DIVISION,M,1,Track,1
2/1/2015,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
2/1/2015,B DIVISION,N,1,Signals,3
2/1/2015,B DIVISION,N,1,Track,1
2/1/2015,B DIVISION,N,2,Other,1
2/1/2015,B DIVISION,Q,1,Other,1
2/1/2015,B DIVISION,Q,1,Track,1
2/1/2015,B DIVISION,R,1,Other,4
2/1/2015,B DIVISION,R,1,Persons on Trackbed/Police/Medical,1
2/1/2015,B DIVISION,R,1,Track,3
2/1/2015,B DIVISION,R,2,Other,1
2/1/2015,Systemwide,Systemwide,1,Other,18
2/1/2015,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,10
2/1/2015,Systemwide,Systemwide,1,Signals,23
2/1/2015,Systemwide,Systemwide,1,Stations and Structure,3
2/1/2015,Systemwide,Systemwide,1,Subway Car,2
2/1/2015,Systemwide,Systemwide,1,Track,21
2/1/2015,Systemwide,Systemwide,2,Other,6
2/1/2015,Systemwide,Systemwide,2,Signals,1
2/1/2015,Systemwide,Systemwide,2,Track,1
3/1/2015,A DIVISION,1,1,Other,2
3/1/2015,A DIVISION,1,1,Persons on Trackbed/Police/Medical,1
3/1/2015,A DIVISION,2,1,Signals,3
3/1/2015,A DIVISION,2,1,Track,1
3/1/2015,A DIVISION,2,2,Track,1
3/1/2015,A DIVISION,3,1,Other,1
3/1/2015,A DIVISION,3,1,Persons on Trackbed/Police/Medical,3
3/1/2015,A DIVISION,3,1,Signals,2
3/1/2015,A DIVISION,3,1,Track,3
3/1/2015,A DIVISION,4,1,Other,1
3/1/2015,A DIVISION,4,1,Persons on Trackbed/Police/Medical,3
3/1/2015,A DIVISION,4,1,Track,1
3/1/2015,A DIVISION,5,1,Persons on Trackbed/Police/Medical,3
3/1/2015,A DIVISION,5,1,Track,2
3/1/2015,A DIVISION,6,1,Persons on Trackbed/Police/Medical,2
3/1/2015,A DIVISION,6,1,Signals,4
3/1/2015,A DIVISION,6,1,Track,1
3/1/2015,A DIVISION,7,1,Track,6
3/1/2015,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
3/1/2015,B DIVISION,A,1,Signals,1
3/1/2015,B DIVISION,B,1,Track,1
3/1/2015,B DIVISION,C,1,Persons on Trackbed/Police/Medical,2
3/1/2015,B DIVISION,C,1,Signals,1
