month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2015-01-01,A DIVISION,1,1,6874,9017,76.2337806
2015-01-01,A DIVISION,2,1,2920,6175,47.2874494
2015-01-01,A DIVISION,3,1,4004,5834,68.6321563
2015-01-01,A DIVISION,4,1,3692,7623,48.4323757
2015-01-01,A DIVISION,5,1,3203,6491,49.3452473
2015-01-01,A DIVISION,6,1,5967,11509,51.8463811
2015-01-01,A DIVISION,7,1,10595,12322,85.9844181
2015-01-01,A DIVISION,S 42nd,1,11592,11834,97.9550448
2015-01-01,B DIVISION,A,1,4956,7327,67.6402347
2015-01-01,B DIVISION,B,1,3164,4120,76.7961165
2015-01-01,B DIVISION,C,1,3359,4000,83.975
2015-01-01,B DIVISION,D,1,4022,5288,76.0590015
2015-01-01,B DIVISION,E,1,5453,7894,69.0777806
2015-01-01,B DIVISION,F,1,4597,7939,57.9040181
2015-01-01,B DIVISION,G,1,3961,5664,69.9329096
2015-01-01,B DIVISION,JZ,1,4374,5444,80.3453343
2015-01-01,B DIVISION,L,1,9109,9808,92.8731648
2015-01-01,B DIVISION,M,1,3761,5315,70.7619944
2015-01-01,B DIVISION,N,1,3601,5259,68.4730937
2015-01-01,B DIVISION,Q,1,3737,5348,69.8765894
2015-01-01,B DIVISION,R,1,3506,5670,61.8342152
2015-01-01,B DIVISION,S Fkln,1,2337,2354,99.277825
2015-01-01,B DIVISION,S Rock,1,3203,3358,95.3841572
2015-01-01,Systemwide,Systemwide,1,111987,155593,71.9743176
2015-02-01,A DIVISION,1,1,6067,8579,70.719198
2015-02-01,A DIVISION,2,1,2185,5901,37.0276224
2015-02-01,A DIVISION,3,1,3300,5618,58.739765
2015-02-01,A DIVISION,4,1,3061,7201,42.507985
2015-02-01,A DIVISION,5,1,2489,6172,40.3272845
2015-02-01,A DIVISION,6,1,4255,10630,40.028222
2015-02-01,A DIVISION,7,1,9057,11727,77.2320287
2015-02-01,A DIVISION,S 42nd,1,11149,11192,99.615797
2015-02-01,B DIVISION,A,1,4390,6970,62.9842181
2015-02-01,B DIVISION,B,1,2678,3914,68.4210526
2015-02-01,B DIVISION,C,1,2983,3800,78.5
2015-02-01,B DIVISION,D,1,3404,5063,67.2328659
2015-02-01,B DIVISION,E,1,5197,7512,69.1826411
2015-02-01,B DIVISION,F,1,3963,7465,53.0877428
2015-02-01,B DIVISION,G,1,3735,5371,69.5401229
2015-02-01,B DIVISION,JZ,1,3750,5193,72.2125939
2015-02-01,B DIVISION,L,1,8216,9505,86.4387165
2015-02-01,B DIVISION,M,1,3324,5054,65.7696874
2015-02-01,B DIVISION,N,1,3104,5054,61.4166996
2015-02-01,B DIVISION,Q,1,3433,5089,67.4592258
2015-02-01,B DIVISION,R,1,3103,5371,57.7732266
2015-02-01,B DIVISION,S Fkln,1,2223,2242,99.1525424
2015-02-01,B DIVISION,S Rock,1,3009,3195,94.1784038
2015-02-01,Systemwide,Systemwide,1,98075,147818,66.3484826
2015-03-01,A DIVISION,1,1,7435,9929,74.8816598
2015-03-01,A DIVISION,2,1,3138,7213,43.504783
2015-03-01,A DIVISION,3,1,4015,6304,63.6897208
2015-03-01,A DIVISION,4,1,3218,8076,39.8464586
2015-03-01,A DIVISION,5,1,2776,7145,38.8523443
2015-03-01,A DIVISION,6,1,4931,12246,40.2662094
2015-03-01,A DIVISION,7,1,10949,13571,80.6793899
2015-03-01,A DIVISION,S 42nd,1,13226,13290,99.5184349
2015-03-01,B DIVISION,A,1,5271,8040,65.5597015
2015-03-01,B DIVISION,B,1,3605,4525,79.6685083
2015-03-01,B DIVISION,C,1,3521,4400,80.0227273
2015-03-01,B DIVISION,D,1,4460,5793,76.9894701
2015-03-01,B DIVISION,E,1,6199,8692,71.3184538
2015-03-01,B DIVISION,F,1,4844,8450,57.3254438
2015-03-01,B DIVISION,G,1,3856,6093,63.2857377
2015-03-01,B DIVISION,JZ,1,4816,5996,80.3202135
2015-03-01,B DIVISION,L,1,10286,11187,91.9460088
2015-03-01,B DIVISION,M,1,3945,5852,67.4128503
2015-03-01,B DIVISION,N,1,4222,5852,72.1462748
2015-03-01,B DIVISION,Q,1,4474,5891,75.9463589
2015-03-01,B DIVISION,R,1,3612,6248,57.8104994
2015-03-01,B DIVISION,S Fkln,1,2572,2596,99.0755008
2015-03-01,B DIVISION,S Rock,1,3530,3701,95.3796271
2015-03-01,Systemwide,Systemwide,1,118901,171090,69.4961716
2015-04-01,A DIVISION,1,1,7690,9932,77.4265002
2015-04-01,A DIVISION,2,1,3290,7054,46.6402041
2015-04-01,A DIVISION,3,1,4494,6704,67.0346062
2015-04-01,A DIVISION,4,1,3541,8080,43.8242574
2015-04-01,A DIVISION,5,1,3237,7332,44.1489362
2015-04-01,A DIVISION,6,1,5109,12252,41.6993144
2015-04-01,A DIVISION,7,1,10597,13293,79.7186489
2015-04-01,A DIVISION,S 42nd,1,12780,12875,99.2621359
2015-04-01,B DIVISION,A,1,5750,8070,71.2515489
2015-04-01,B DIVISION,B,1,3694,4532,81.5092674
2015-04-01,B DIVISION,C,1,3737,4353,85.8488399
